Meninggal Harian,Vaksinasi 2 ,Sembuh Harian ,Tanpa Gejala
"0,9333333333",0,"0,5506072874","0,03841698842"
"0,9555555556","0,002267233463","0,6686909582","0,03996138996"
"0,8666666667","0,002729983372","0,8657219973","0,2378378378"
1,"0,006225071175","0,6605937922","0,4384169884"
"0,9333333333","0,01180416447","0,7624831309","0,3310810811"
"0,8222222222","0,01918575587","0,1923076923","0,2694980695"
"0,3777777778","0,02567999631","0,2577597841","0,2702702703"
"0,5111111111","0,02567999631","0,3502024291","0,1947876448"
"0,4222222222","0,04826029151","0,8940620783","0,2882239382"
"0,7111111111","0,04902411958",1,"0,1965250965"
"0,2","0,06498764417","0,8542510121","0,2113899614"
"0,4666666667","0,08540380709","0,6970310391","0,1264478764"
"0,2666666667","0,1080084949","0,4001349528","0,07644787645"
"0,4444444444","0,1352742924","0,4190283401","0,01332046332"
"0,3777777778","0,1569439786","0,4608636977","0,1878378378"
"0,4444444444","0,1569439786","0,4446693657","0,1262548263"
"0,3111111111","0,1699055142","0,9129554656","0,0722007722"
"0,3555555556","0,1952842905","0,8097165992","0,2368725869"
"0,5333333333","0,2261997568","0,7604588394","0,1461389961"
"0,3333333333","0,2590263532","0,838731444","0,08069498069"
"0,3111111111","0,269545511","0,1356275304","0,06930501931"
"0,3555555556","0,2890343304","0,0661268556","0,2507722008"
"0,4","0,299127469","0,08502024291","0,2108108108"
"0,4444444444","0,3023930963","0,5499325236","0,1407335907"
"0,3777777778","0,3142816421","0,3353576248","0,2934362934"
0,"0,3469780502","0,4574898785","0,2071428571"
"0,2444444444","0,3690858101","0,4466936572","0,1598455598"
0,"0,3885672551","0,2672064777","0,1019305019"
"0,08888888889","0,3904549854","0,5391363023","0,1722007722"
"0,04444444444","0,4027336706","0,4817813765","0,1061776062"
"0,02222222222","0,4112509351","0,3677462888","0,05135135135"
"0,2","0,4419400609","0,3043184885","0,02567567568"
"0,08888888889","0,4704033639","0,008097165992",0
"0,2","0,4878739811","0,03036437247","0,1333976834"
"0,3555555556","0,5081114542","0,06275303644","0,1361003861"
"0,2444444444","0,5442497687","0,1099865047","0,3656370656"
"0,1777777778","0,5622363173","0,2105263158","0,3306949807"
"0,2666666667","0,5654801048","0,5985155196","0,1471042471"
"0,1333333333","0,5967621688","0,5560053981","0,3467181467"
"0,4444444444","0,6124122771","0,2449392713","0,333011583"
"0,08888888889","0,6322672689","0,07827260459","0,3094594595"
"0,2666666667","0,6525406218",0,1
"0,1333333333","0,6675838938","0,3454790823","0,166988417"
"0,08888888889","0,6773553907","0,3178137652","0,6432432432"
"0,2888888889","0,680270162","0,2948717949","0,02471042471"
"0,4222222222","0,7003045527","0,3137651822","0,4293436293"
"0,1777777778","0,7153564756","0,2530364372","0,2733590734"
"0,3333333333","0,7413349973","0,03373819163","0,1934362934"
"0,1333333333","0,7620780492","0,08502024291","0,1851351351"
"0,2888888889","0,7888745732","0,1241565452","0,1341698842"
"0,1777777778","0,8060476577","0,2449392713","0,1003861004"
"0,4222222222","0,8104686708","0,2975708502","0,2223938224"
"0,2666666667","0,8379721542","0,5182186235","0,1805019305"
"0,3555555556","0,8650852145","0,05668016194","0,222007722"
"0,1777777778","0,8929609683","0,05600539811","0,199034749"
"0,3777777778","0,9174028995","0,04251012146","0,1611969112"
"0,4444444444","0,9263148415","0,006747638327","0,1992277992"
"0,2444444444","0,930881501","0,120782726","0,1664092664"
"0,3777777778","0,9343737525","0,286099865","0,1283783784"
"0,4","0,9552630179","0,1545209177","0,2262548263"
"0,3555555556","0,9767949995","0,05398110661","0,194015444"
"0,4444444444",1,"0,08704453441","0,1785714286"