Tanggal,Jam,Tanggal Jam,Total Pasien,Sembuh,Meninggal,Self Isolation,Masih Perawatan,Belum Diketahui (masih verifikasi),Menunggu Hasil,Tenaga Kesehatan Terinfeksi,Positif Harian,Positif Aktif,Sembuh Harian,Tanpa Gejala,Bergejala,Belum Ada Data,,,,,,,,,,,,
6/1/2021,8,6/1/2021 8:00,430578,412593,7349,5214,5422,,,,519,10636,519,1996,7706,934,,,,,,,,,,,,
6/2/2021,8,6/2/2021 8:00,431179,413179,7361,5178,5461,,,,601,10639,586,1951,7330,1358,,,,,,,,,,,,
6/3/2021,8,6/3/2021 8:00,431893,413680,7381,5402,5430,,,,714,10832,501,1811,7116,1905,,,,,,,,,,,,
6/4/2021,8,6/4/2021 8:00,432799,414496,7402,5414,5487,,,,906,10901,816,2618,7650,633,,,,,,,,,,,,
6/5/2021,8,6/5/2021 8:00,434116,415317,7423,5756,5620,,,,1317,11376,821,2404,7279,1693,,,,,,,,,,,,
6/6/2021,8,6/6/2021 8:00,435135,416181,7438,5966,5550,,,,1019,11516,864,1901,7135,2480,,,,,,,,,,,,
6/7/2021,8,6/7/2021 8:00,436332,416994,7457,6261,5620,,,,1197,11881,813,2412,8576,893,,,,,,,,,,,,
6/8/2021,8,6/8/2021 8:00,437087,417997,7478,6057,5555,,,,755,11612,1003,2186,7949,1477,,,,,,,,,,,,
6/9/2021,8,6/9/2021 8:00,438458,419109,7499,6120,5730,,,,1371,11850,1112,1992,7270,2588,,,,,,,,,,,,
6/10/2021,8,6/10/2021 8:00,440554,420211,7523,6991,5829,,,,2096,12820,1102,1789,6881,4150,,,,,,,,,,,,
6/11/2021,8,6/11/2021 8:00,442847,421396,7543,7750,6158,,,,2293,13908,1185,1456,6442,6010,,,,,,,,,,,,
6/12/2021,8,6/12/2021 8:00,445302,422121,7557,8855,6769,,,,2455,15624,725,1289,6395,7940,,,,,,,,,,,,
6/13/2021,8,6/13/2021 8:00,448071,423056,7571,10034,7410,,,,2769,17444,935,1117,6352,9975,,,,,,,,,,,,
6/14/2021,8,6/14/2021 8:00,450793,424088,7609,11240,7856,,,,2722,19096,1032,4032,13945,1119,,,,,,,,,,,,
6/15/2021,8,6/15/2021 8:00,452295,425417,7634,11102,8142,,,,1502,19244,1329,3746,13108,2390,,,,,,,,,,,,
6/16/2021,8,6/16/2021 8:00,454671,426695,7665,11555,8756,,,,2376,20311,1278,3458,12419,4434,,,,,,,,,,,,
6/17/2021,8,6/17/2021 8:00,458815,428764,7713,13054,9284,,,,4144,22338,2069,2882,11788,7668,,,,,,,,,,,,
6/18/2021,8,6/18/2021 8:00,463552,431264,7777,14951,9560,,,,4737,24511,2500,2531,10655,11325,,,,,,,,,,,,
6/19/2021,8,6/19/2021 8:00,468447,433499,7836,16787,10325,,,,4895,27112,2235,1840,9740,15532,,,,,,,,,,,,
6/20/2021,8,6/20/2021 8:00,474029,435982,7905,19105,11037,,,,5582,30142,2483,1325,8734,20083,,,,,,,,,,,,
6/21/2021,8,6/21/2021 8:00,479043,439007,7976,20717,11343,,,,5014,32060,3025,8039,19670,4351,,,,,,,,,,,,
6/22/2021,8,6/22/2021 8:00,482264,442059,8014,21167,11024,,,,3221,32191,3052,6351,16241,9599,,,,,,,,,,,,
6/23/2021,8,6/23/2021 8:00,486957,443195,8057,22868,12837,,,,4693,35705,1136,6163,15906,13636,,,,,,,,,,,,
6/24/2021,8,6/24/2021 8:00,494462,445718,8107,26403,14234,,,,7505,40637,2523,5567,15624,19446,,,,,,,,,,,,
6/25/2021,8,6/25/2021 8:00,501396,448288,8177,29325,15606,,,,6934,44931,2570,5170,14668,25093,,,,,,,,,,,,
6/26/2021,8,6/26/2021 8:00,510667,451013,8220,33829,17605,,,,9271,51434,2725,4381,14547,32506,,,,,,,,,,,,
6/27/2021,8,6/27/2021 8:00,520061,454497,8269,38464,18831,,,,9394,57295,3484,3484,13789,40022,,,,,,,,,,,,
6/28/2021,8,6/28/2021 8:00,528409,457935,8348,42252,19874,,,,8348,62126,3438,17144,29461,15521,,,,,,,,,,,,
6/29/2021,8,6/29/2021 8:00,535788,461439,8426,45504,20419,,,,7379,65923,3504,15706,28925,21292,,,,,,,,,,,,
6/30/2021,8,6/30/2021 8:00,543468,464943,8486,47829,22210,,,,7680,70039,3504,14940,27514,27585,,,,,,,,,,,,
7/1/2021,8,7/1/2021 8:00,551009,468461,8528,49836,24184,,,,7541,74020,3518,13902,26151,33967,,,,,,,,,,,,
7/2/2021,8,7/2/2021 8:00,560408,473467,8547,53014,25380,,,,9399,78394,5006,12103,25076,41215,,,,,,,,,,,,
7/3/2021,8,7/3/2021 8:00,570110,479150,8577,54941,27442,,,,9702,82383,5683,11310,21941,49132,,,,,,,,,,,,
7/4/2021,8,7/4/2021 8:00,580595,484949,8652,59307,27687,,,,10485,86994,5799,8799,20101,58094,,,,,,,,,,,,
7/5/2021,8,7/5/2021 8:00,591498,491556,8779,62873,28290,,,,10903,91163,6607,7598,20096,63469,,,,,,,,,,,,
7/6/2021,8,7/6/2021 8:00,600937,497492,8861,65448,29136,,,,9439,94584,5936,18451,60476,15657,,,,,,,,,,,,
7/7/2021,8,7/7/2021 8:00,610303,501199,9042,69644,30418,,,,9366,100062,3707,18376,57521,24165,,,,,,,,,,,,
7/8/2021,8,7/8/2021 8:00,623277,512085,9110,72361,29721,,,,12974,102082,10886,14748,50824,36510,,,,,,,,,,,,
7/9/2021,8,7/9/2021 8:00,636389,526941,9306,73239,26903,,,,13112,100142,14856,10095,40727,49320,,,,,,,,,,,,
7/10/2021,8,7/10/2021 8:00,649309,543867,9357,71812,24273,,,,12920,96085,16926,7999,26379,61707,,,,,,,,,,,,
7/11/2021,8,7/11/2021 8:00,662442,564437,9395,68251,20359,,,,13133,88610,20570,4769,12893,70948,,,,,,,,,,,,
7/12/2021,8,7/12/2021 8:00,677061,584912,9462,66581,16106,,,,14619,82687,20475,17649,25597,39441,,,,,,,,,,,,